"name","synonym"
"suicide silence","suicide silence"
"roupa nova","roupa nova"
"mystikal","mystikal"
"12 stones","12 stones"
"mayer hawthorne","mayer hawthorne"
"alejandro sanz","alejandro sanz"
"underoath","underoath"
"the game","the game"
"art popular","art popular"
"arch enemy","arch enemy"
"dash berlin","dash berlin"
"matisyahu","matisyahu"
"arashi","arashi"
"cpm 22","cpm 22"
"never shout never","never shout never"
"thirteen senses","thirteen senses"
"goldfrapp","goldfrapp"
"marquinhos gomes","marquinhos gomes"
"laura marling","laura marling"
"the saturdays","the saturdays"
"fx","fx"
"molejo","molejo"
"buddy guy","buddy guy"
"zapp","zapp"
"soulfly","soulfly"
"alcione","alcione"
"george jones","george jones"
"uriah heep","uriah heep"
"o surto","o surto"
"box car racer","box car racer"
"diana krall","diana krall"
"electric guest","electric guest"
"beth carvalho","beth carvalho"
"gilberto gil","gilberto gil"
"fireflight","fireflight"
"john coltrane","john coltrane"
"criolo","criolo"
"sandra","sandra"
"lmfao","lmfao"
"nero","nero"
"george benson","george benson"
"ringo starr","ringo starr"
"jeremy camp","jeremy camp"
"the airborne toxic event","the airborne toxic event"
"miles kane","miles kane"
"galinha pintadinha","galinha pintadinha"
"lordi","lordi"
"banda eva","banda eva"
"mundo bita","mundo bita"
"ashlee simpson","ashlee simpson"
"atreyu","atreyu"
"joan baez","joan baez"
"mc wm","mc wm"
"pavement","pavement"
"chiclete com banana","chiclete com banana"
"jamily","jamily"
"arnaldo antunes","arnaldo antunes"
"soweto","soweto"
"nelson ned","nelson ned"
"misfits","misfits"
"atb","atb"
"love","love"
"patsy cline","patsy cline"
"gloria gaynor","gloria gaynor"
"the animals","the animals"
"jorge ben jor","jorge ben jor"
"namie amuro","namie amuro"
"engenheiros do hawaii","engenheiros do hawaii"
"rick astley","rick astley"
"chico buarque","chico buarque"
"wilson simonal","wilson simonal"
"dead kennedys","dead kennedys"
"the ting tings","the ting tings"
"aimee mann","aimee mann"
"the glitch mob","the glitch mob"
"julio iglesias","julio iglesias"
"thievery corporation","thievery corporation"
"moloko","moloko"
"cannibal corpse","cannibal corpse"
"red","red"
"cowboy junkies","cowboy junkies"
"as i lay dying","as i lay dying"
"alpha blondy","alpha blondy"
"mamonas assassinas","mamonas assassinas"
"nando reis","nando reis"
"melanie c","melanie c"
"grace jones","grace jones"
"andrea bocelli","andrea bocelli"
"giselli cristina","giselli cristina"
"marillion","marillion"
"white lies","white lies"
"stevie nicks","stevie nicks"
"descendents","descendents"
"my morning jacket","my morning jacket"
"opeth","opeth"
"conor maynard","conor maynard"
